area_sqft,bedrooms,bathrooms,floors,age,garage,garden,near_school,location_score,price
3982,1,5,3,14,0,1,1,3,1204233
3854,6,2,3,13,0,1,1,8,1502034
1746,2,5,2,35,0,1,0,2,743073
4460,1,3,2,1,0,0,0,8,1319257
5618,3,1,2,28,1,0,0,2,1315164
5643,6,1,1,29,1,1,0,8,1642062
1993,6,4,1,21,1,0,0,8,1054784
496,5,4,1,24,1,1,0,3,610289
4543,2,2,2,36,1,0,0,3,1150498
4569,5,1,3,34,0,1,0,2,1206415
1342,3,4,3,15,1,0,1,7,819729
511,6,2,3,9,1,1,0,6,768570
3881,1,1,1,25,0,1,0,1,796997
1763,1,2,2,19,1,1,1,4,703797
3294,6,2,3,19,0,1,1,3,1268483
3725,2,2,2,21,1,1,1,6,1142424
1492,6,1,1,9,1,0,0,8,968379
2247,2,1,1,0,0,1,1,4,753298
4947,1,1,2,21,0,1,0,4,1222844
2450,6,5,3,36,0,0,0,2,1124934
439,3,4,2,5,0,1,1,9,765400
1746,6,3,1,20,0,0,0,1,822078
1559,2,1,1,5,1,1,0,1,490939
2297,4,4,3,12,0,0,1,9,1155448
4595,6,4,3,0,0,1,0,5,1587661
2828,1,5,1,22,0,0,1,2,771413
3652,5,3,1,27,1,1,0,7,1360757
1782,3,3,1,21,0,1,1,2,672927
4337,2,2,1,21,0,0,0,7,1161938
4709,5,4,1,25,1,1,0,7,1455485
4102,2,4,2,17,0,0,0,3,1060670
5358,6,5,1,32,0,1,1,3,1658652
5931,5,1,2,7,0,1,0,9,1746146
2738,4,5,1,4,0,0,0,6,1040044
988,5,2,1,1,0,1,0,8,764752
2104,1,5,1,26,0,1,0,9,818904
4371,6,3,2,15,0,0,0,6,1429174
4602,2,3,1,35,1,0,0,6,1163251
1237,3,5,2,6,1,1,1,5,852692
3024,2,2,1,1,0,0,1,6,985044
5339,3,5,1,33,0,1,1,8,1622095
1842,6,3,1,11,0,1,1,8,1020466
1226,1,1,1,7,0,1,0,1,450043
1818,4,3,3,35,1,0,1,2,843868
4262,5,2,3,29,1,0,1,9,1546700
4642,4,1,3,8,0,0,1,9,1386132
4907,1,1,2,0,0,0,0,5,1143939
2189,6,5,1,9,1,1,0,5,1155701
3652,2,1,3,37,0,0,1,4,938272
1789,1,5,3,9,0,1,1,2,632216
771,5,4,2,25,0,1,0,2,636846
3626,4,1,2,37,0,1,1,2,1052098
3168,1,3,2,31,1,1,1,3,922104
790,3,1,1,10,1,1,1,5,519817
655,1,5,1,39,1,0,0,2,409610
3716,1,3,2,39,0,1,0,2,883045
4855,1,2,1,19,1,0,0,1,990774
4443,5,3,3,38,1,0,1,1,1265313
1350,1,2,2,7,1,1,1,1,530791
1553,2,5,2,24,1,1,1,1,668064
955,1,4,3,2,1,0,0,1,442715
3658,1,4,2,20,0,1,0,4,1099313
1781,2,3,2,37,0,1,0,1,620889
1095,1,1,1,18,0,0,1,4,393255
2404,3,5,2,35,1,0,1,7,958386
1729,5,2,2,8,0,0,1,9,1055477
5026,4,1,1,19,1,0,0,1,1243716
3937,6,4,2,34,1,0,0,3,1289332
1937,4,5,2,29,1,0,1,3,863581
5436,6,5,2,11,1,0,0,1,1653930
5824,6,2,2,17,1,0,1,8,1818373
2411,2,4,3,26,1,0,0,9,1034585
742,3,5,3,1,1,0,0,1,586680
4635,2,3,2,22,0,0,1,4,1292527
3109,6,2,2,31,0,0,1,4,1190275
2921,4,1,2,16,0,1,0,2,947602
4087,1,5,3,21,0,0,1,5,1235151
1913,1,2,2,22,0,1,0,2,557975
5874,2,5,3,21,1,0,1,2,1539967
4499,3,5,1,32,0,1,0,4,1292690
3731,5,2,1,7,1,1,1,1,1140129
5251,5,2,1,7,1,0,1,7,1619957
3464,3,2,1,12,0,1,1,7,1104730
1646,6,3,1,9,1,1,1,7,1004831
662,1,4,1,24,0,1,1,4,462178
1511,2,5,1,22,1,1,0,7,732095
1438,2,4,3,16,1,0,1,1,559165
3337,6,2,3,29,1,0,0,4,1248853
1622,4,1,1,4,1,0,0,8,820876
838,4,5,2,25,0,0,0,9,867232
2987,4,2,1,4,0,0,1,4,972731
3254,1,5,2,18,0,1,1,9,1112449
4429,1,3,3,10,1,1,1,9,1300639
2302,1,5,2,4,0,1,1,2,759226
4314,5,3,3,16,0,0,1,5,1419120
1267,2,4,1,31,0,1,1,1,568018
4100,5,2,2,11,1,0,1,8,1363052
4595,1,4,3,16,0,0,0,8,1252749
2641,2,2,1,23,0,1,1,6,841949
3263,4,2,3,34,0,1,0,2,984275
2941,4,4,1,29,0,1,0,8,1079038
4512,6,1,1,0,0,1,0,6,1399352
2069,6,5,3,9,0,0,1,8,1220250
1533,1,2,3,30,0,1,1,4,663693
5606,3,2,2,30,1,1,1,1,1364784
4542,6,5,1,36,0,0,0,4,1378354
671,2,5,2,16,0,0,0,5,554498
3787,1,5,3,14,0,0,0,4,1032717
3881,4,3,1,11,0,0,1,8,1225984
3773,6,4,2,26,0,1,0,5,1402984
3905,6,5,1,3,0,0,0,5,1465864
1843,3,2,2,22,0,0,0,9,873855
4397,4,5,1,20,1,0,1,4,1314661
1379,6,3,1,20,0,0,1,5,929192
1236,4,2,2,7,0,1,1,2,721378
4333,5,5,3,36,0,1,0,2,1414460
1910,3,1,2,17,0,1,0,9,804557
2508,1,1,1,23,1,0,1,5,730885
721,2,5,3,13,1,0,0,4,564689
4356,5,2,3,39,0,0,0,3,1303843
5262,1,1,1,3,1,1,1,6,1342311
2396,2,5,2,14,0,0,1,3,917591
723,3,5,2,10,1,0,1,1,555516
1219,2,2,3,23,0,0,1,5,580276
4119,1,2,3,30,1,1,0,2,1070052
1398,5,1,3,24,0,0,0,1,696455
4584,1,2,2,18,0,0,0,8,1227106
4908,3,5,2,13,0,1,1,1,1291044
5884,6,5,2,8,1,1,0,7,1944629
1743,6,4,3,19,1,0,0,7,1166047
4836,2,5,3,29,0,0,1,5,1306109
4404,4,4,1,28,1,1,1,1,1260309
2928,1,2,2,19,1,1,0,6,877181
1801,1,1,1,4,1,0,1,8,740494
824,3,4,3,0,1,1,0,6,703919
3210,2,2,2,23,1,0,1,4,862034
4573,3,5,3,11,0,1,0,4,1440115
2456,2,4,3,17,0,1,1,4,921945
4886,5,1,2,29,1,1,0,1,1243594
5742,1,4,1,19,0,0,1,4,1301330
5718,6,2,2,29,1,1,0,2,1509914
5048,2,4,1,5,0,1,0,4,1388335
4359,1,2,2,39,1,0,1,4,1075195
2394,6,4,2,33,1,0,1,1,1019263
860,1,1,2,37,0,1,0,6,419345
4137,6,3,2,4,1,0,1,2,1309796
1914,5,4,1,11,0,0,0,3,951349
5131,5,4,2,8,0,1,1,6,1582671
1921,1,1,1,33,1,1,1,9,701905
4631,3,3,1,26,0,0,1,4,1175570
1852,1,5,2,26,1,1,1,8,862711
1163,2,4,2,36,0,1,0,4,566184
3729,1,2,3,38,0,1,1,8,1080272
1630,4,5,3,38,1,1,1,3,884136
3912,5,5,2,15,0,0,0,8,1496694
5071,1,4,2,1,0,0,1,3,1188785
881,5,1,3,17,1,1,0,1,652525
2963,4,1,1,8,0,0,1,7,1100664
417,1,1,1,7,1,0,0,4,277978
5608,2,5,1,21,0,0,1,3,1329279
5246,4,1,1,1,1,1,1,7,1474432
3687,6,5,2,31,1,0,1,1,1284560
4693,2,3,2,32,1,1,0,5,1242998
3057,1,1,3,23,0,1,0,9,908235
3010,3,4,3,30,0,0,0,6,1148544
3829,3,4,2,8,0,1,1,9,1388863
5650,5,2,3,14,0,0,0,1,1542936
957,2,1,3,39,0,0,0,2,389974
1331,1,4,2,19,1,1,0,7,639173
2923,5,3,2,27,0,1,1,4,1077817
1086,3,4,1,15,1,0,1,5,665942
4422,4,4,3,38,0,1,0,9,1432552
2951,6,2,2,16,1,0,1,5,1224291
4569,5,5,2,32,0,0,0,9,1568322
3022,5,1,3,10,1,1,1,5,1167731
2131,5,5,3,15,0,1,1,4,1125041
2075,4,3,1,29,0,0,0,9,1013943
5930,2,1,3,11,1,0,0,9,1587158
2540,6,1,3,4,0,0,1,4,1062664
2907,6,5,2,22,1,1,0,7,1340513
4378,4,4,3,35,1,0,0,4,1267352
3347,6,5,1,10,1,0,0,6,1331532
4938,4,4,2,10,0,1,0,4,1477940
807,3,2,2,3,0,0,1,7,722780
681,1,2,1,14,0,1,1,3,338127
3243,6,4,2,3,0,1,1,7,1396263
841,4,1,2,31,1,1,1,9,748117
5118,2,5,3,25,0,0,1,6,1437773
3979,6,4,1,28,1,0,1,6,1477084
4755,5,4,1,35,1,1,1,6,1541363
3166,4,5,3,16,0,1,0,8,1320166
5861,1,3,3,12,1,1,0,3,1431148
3403,2,1,1,23,1,0,0,2,810095
3974,4,5,3,37,0,1,1,8,1477900
2880,3,1,1,31,0,1,1,9,1014995
1736,6,1,1,19,0,0,1,7,1008018
1255,1,2,2,8,0,1,0,7,562990
1012,6,5,1,20,0,1,0,1,688967
4821,1,5,3,2,1,1,1,1,1202632
2760,4,1,2,7,1,0,0,5,1007347
3020,2,2,1,25,0,1,1,5,908704
5714,6,1,1,6,1,0,1,5,1668634
5493,1,3,3,28,0,1,0,8,1496080
3121,6,3,2,23,1,1,1,4,1182986
5589,6,3,1,6,1,1,0,6,1726538
3084,5,4,2,2,0,0,1,3,1077121
3865,1,5,2,35,1,0,0,4,1133508
5727,3,4,3,11,1,0,1,2,1537907
3723,2,1,2,15,0,0,0,8,1085315
4818,4,3,3,39,1,1,1,6,1490111
3482,3,1,1,13,0,1,1,7,1016392
2164,3,4,3,11,1,0,0,9,1062685
2195,5,4,1,21,0,1,0,8,1065927
2368,2,1,2,11,1,1,0,9,949226
1131,1,5,3,22,1,0,1,8,768742
4786,4,1,3,2,0,1,1,3,1387766
3765,4,3,3,21,1,0,0,7,1362336
3777,6,4,2,37,0,0,0,7,1470429
5351,1,5,3,7,1,0,0,7,1507345
5161,2,2,3,6,1,1,0,5,1295744
5706,3,3,3,23,0,0,0,3,1419018
594,3,1,3,27,0,1,0,3,547514
5821,3,1,3,25,1,1,0,4,1509514
3482,4,2,3,38,1,1,1,1,1036206
5656,1,3,3,1,0,0,0,2,1270140
1157,2,2,1,7,1,0,0,5,508264
5488,3,4,3,11,0,0,0,3,1437463
1705,4,3,2,1,0,1,1,8,1038789
4851,6,1,1,12,1,0,0,8,1594527
4051,1,4,2,29,0,1,0,3,975204
3793,6,2,1,17,0,0,1,6,1287721
2967,1,4,1,17,1,1,0,7,1039527
